person_id,name
138516,Marie Mosquini
60743,Fred C. Newmeyer
105042,Charles Stevenson
584912,Anna Townsend
768068,Patrick Youch
60744,Sam Taylor
57716,Joel McCrea
28652,Fay Wray
72246,Leslie Banks
28653,Robert Armstrong
28654,Noble Johnson
152108,William B. Davidson
47823,Oscar 'Dutch' Hendrian
153624,Hale Hamilton
62831,Irving Pichel
28661,Ernest B. Schoedsack
649548,James Anderson
153529,Hazel Keener
583975,Joseph Harrington
577115,Pat Harmon
577076,Leon Beaumon
220125,Ethel Broadhurst
205908,Rosalind Byrne
154312,Charles Farrell
652713,King Lockwood
1246120,George Marion
132379,Oscar Smith
132394,Grady Sutton
133025,May Wallace
45070,Carole Lombard
31477,Jack Benny
10370,Robert Stack
45688,Felix Bressart
45548,Lionel Atwill
71733,Stanley Ridges
45687,Sig Ruman
72300,Tom Dugan
